trip_duration,usertype,number_of_trips
1053,member,9
1054,member,3
1054,casual,5
1055,member,9
1055,casual,5
1056,member,1
1056,casual,9
1057,member,4
1057,casual,5
1058,member,4
1058,casual,5
1059,casual,7
1059,member,3
1060,member,4
1060,casual,6
1061,member,2
1061,casual,2
1062,member,3
1062,casual,4
1063,casual,5
1063,member,4
1064,member,3
1064,casual,3
1065,casual,4
1065,member,4
1066,member,2
1066,casual,8
1067,casual,4
1067,member,2
1068,casual,4
1068,member,2
1069,casual,5
1069,member,2
1070,member,3
1070,casual,6
1071,casual,7
1071,member,2
1072,casual,11
1072,member,9
1073,casual,4
1073,member,4
1074,member,2
1074,casual,6
1075,member,1
1075,casual,2
1076,casual,9
1076,member,3
1077,member,4
1077,casual,11
1078,member,2
1078,casual,6
1079,member,4
1079,casual,3
1080,casual,11
1080,member,4
1081,member,6
1081,casual,5
1082,member,2
1082,casual,10
1083,member,1
1083,casual,7
1084,member,2
1084,casual,4
1085,casual,6
1085,member,2
1086,member,1
1086,casual,7
1087,member,4
1087,casual,3
1088,casual,4
1088,member,1
1089,member,1
1089,casual,6
1090,member,3
1090,casual,2
1091,casual,8
1091,member,3
1092,member,1
1092,casual,9
1093,casual,1
1093,member,4
1094,member,2
1094,casual,9
1095,casual,3
1095,member,2
1096,casual,2
1097,casual,5
1097,member,4
1098,member,2
1098,casual,5
1099,casual,6
1100,member,2
1100,casual,9
1101,casual,6
1101,member,1
1102,casual,4
1102,member,1
1103,casual,7
1103,member,4
1104,member,2
1104,casual,6
1105,member,2
1105,casual,2
1106,member,2
1106,casual,3
1107,member,2
1107,casual,6
1108,casual,9
1109,member,7
1109,casual,8
1110,casual,9
1110,member,3
1111,casual,4
1111,member,4
1112,casual,8
1112,member,3
1113,casual,6
1114,member,1
1114,casual,4
1115,casual,7
1115,member,1
1116,member,3
1116,casual,3
1117,casual,7
1117,member,4
1118,casual,5
1118,member,1
1119,member,4
1119,casual,5
1120,member,1
1120,casual,6
1121,member,7
1121,casual,2
1122,casual,8
1123,member,7
1123,casual,2
1124,member,2
1124,casual,2
1125,casual,8
1125,member,1
1126,casual,2
1126,member,4
1127,casual,2
1127,member,3
1128,member,5
1128,casual,2
1129,member,3
1129,casual,1
1130,member,2
1130,casual,4
1131,member,2
1131,casual,6
1132,member,1
1132,casual,2
1133,member,2
1133,casual,4
1134,casual,2
1135,casual,2
1135,member,2
1136,casual,4
1136,member,3
1137,casual,4
1138,casual,2
1138,member,4
1139,casual,6
1139,member,4
1140,member,1
1140,casual,4
1141,member,2
1141,casual,2
1142,member,4
1142,casual,9
1143,member,5
1143,casual,5
1144,casual,2
1144,member,3
1145,member,3
1145,casual,7
1146,member,4
1146,casual,5
1147,casual,7
1147,member,3
1148,casual,3
1148,member,2
1149,casual,6
1149,member,1
1150,casual,6
1150,member,3
1151,member,4
1151,casual,4
1152,casual,10
1152,member,5
1153,member,5
1153,casual,4
1154,member,3
1154,casual,11
1155,member,1
1155,casual,5
1156,casual,3
1156,member,1
1157,casual,5
1157,member,1
1158,casual,2
1158,member,2
1159,member,2
1159,casual,3
1160,member,3
1160,casual,7
1161,member,3
1161,casual,7
1162,casual,8
1162,member,2
1163,casual,5
1163,member,2
1164,casual,7
1164,member,2
1165,casual,5
1165,member,3
1166,member,1
1166,casual,2
1167,member,2
1167,casual,7
1168,member,3
1168,casual,11
1169,casual,4
1170,casual,3
1170,member,2
1171,member,7
1171,casual,6
1172,casual,2
1172,member,1
1173,casual,8
1173,member,2
1174,member,3
1174,casual,7
1175,casual,9
1175,member,5
1176,casual,7
1177,casual,11
1177,member,4
1178,member,4
1178,casual,7
1179,casual,6
1179,member,2
1180,member,4
1180,casual,5
1181,casual,7
1181,member,1
1182,casual,5
1183,member,4
1183,casual,4
1184,casual,7
1184,member,2
1185,casual,7
1185,member,1
1186,member,4
1186,casual,6
1187,casual,3
1187,member,3
1188,member,4
1188,casual,6
1189,casual,3
1189,member,5
1190,member,1
1190,casual,1
1191,casual,9
1192,member,4
1192,casual,11
1193,casual,7
1193,member,3
1194,member,2
1194,casual,5
1195,casual,2
1195,member,1
1196,member,3
1196,casual,5
1197,casual,9
1198,member,6
1198,casual,4
1199,member,2
1199,casual,8
1200,casual,7
1200,member,1
1201,member,1
1201,casual,3
1202,casual,3
1202,member,3
1203,casual,2
1203,member,4
1204,member,2
1204,casual,2
1205,member,3
1205,casual,8
1206,casual,8
1206,member,3
1207,member,3
1207,casual,7
1208,member,1
1208,casual,3
1209,casual,8
1209,member,3
1210,casual,6
1210,member,1
1211,casual,6
1211,member,3
1212,casual,2
1212,member,2
1213,member,4
1213,casual,5
1214,member,1
1214,casual,2
1215,member,4
1215,casual,6
1216,casual,5
1216,member,4
1217,casual,2
1217,member,1
1218,member,4
1218,casual,4
1219,casual,8
1219,member,2
1220,member,2
1220,casual,5
1221,casual,1
1221,member,1
1222,casual,5
1222,member,2
1223,casual,5
1223,member,2
1224,casual,2
1224,member,1
1225,casual,1
1225,member,2
1226,casual,6
1226,member,3
1227,casual,8
1227,member,3
1228,member,2
1228,casual,4
1229,casual,9
1229,member,1
1230,member,4
1230,casual,9
1231,casual,3
1231,member,2
1232,casual,3
1232,member,3
1233,member,2
1233,casual,4
1234,member,1
1234,casual,7
1235,member,1
1235,casual,6
1236,casual,6
1236,member,1
1237,member,4
1237,casual,4
1238,casual,3
1238,member,2
1239,member,4
1239,casual,4
1240,member,1
1240,casual,3
1241,member,6
1241,casual,2
1242,casual,3
1242,member,2
1243,casual,9
1243,member,3
1244,member,2
1244,casual,3
1245,casual,5
1245,member,4
1246,casual,7
1246,member,3
1247,member,3
1247,casual,5
1248,member,5
1248,casual,6
1249,member,3
1249,casual,3
1250,member,1
1250,casual,1
1251,casual,6
1251,member,4
1252,casual,6
1252,member,2
1253,casual,3
1253,member,2
1254,casual,6
1254,member,2
1255,casual,3
1255,member,2
1256,casual,7
1256,member,6
1257,casual,3
1258,casual,7
1258,member,2
1259,casual,6
1260,casual,5
1260,member,1
1261,casual,6
1262,casual,6
1263,casual,6
1263,member,2
1264,casual,6
1264,member,3
1265,casual,4
1266,member,2
1266,casual,1
1267,casual,7
1267,member,1
1268,member,2
1268,casual,5
1269,casual,7
1269,member,1
1270,casual,3
1270,member,1
1271,casual,7
1271,member,2
1272,casual,5
1272,member,2
1273,casual,10
1273,member,2
1274,casual,10
1275,member,3
1275,casual,10
1276,member,4
1276,casual,10
1277,member,3
1277,casual,8
1278,casual,2
1279,member,1
1279,casual,6
1280,member,3
1280,casual,2
1281,casual,7
1281,member,1
1282,member,3
1282,casual,6
1283,member,2
1283,casual,2
1284,casual,3
1284,member,1
1285,member,3
1285,casual,7
1286,casual,4
1286,member,1
1287,casual,4
1287,member,1
1288,member,3
1289,member,5
1289,casual,5
1290,member,1
1290,casual,5
1291,casual,7
1292,casual,4
1293,casual,3
1294,casual,4
1295,member,4
1295,casual,5
1296,casual,6
1296,member,1
1297,casual,1
1297,member,2
1298,casual,3
1298,member,3
1299,casual,2
1299,member,1
1300,casual,9
1300,member,2
1301,member,5
1301,casual,5
1302,member,1
1302,casual,10
1303,member,3
1303,casual,8
1304,casual,5
1304,member,3
1305,casual,9
1305,member,3
1306,casual,3
1306,member,1
1307,casual,4
1308,casual,3
1308,member,3
1309,member,1
1309,casual,8
1310,member,3
1310,casual,3
1311,casual,2
1312,member,2
1312,casual,6
1313,member,2
1313,casual,6
1314,casual,2
1314,member,2
1315,casual,2
1316,member,1
1316,casual,5
1317,casual,7
1317,member,4
1318,casual,3
1319,casual,6
1320,casual,8
1321,casual,9
1321,member,1
1322,member,2
1322,casual,8
1323,casual,6
1324,casual,4
1324,member,2
1325,member,4
1325,casual,6
1326,casual,7
1326,member,1
1327,casual,8
1328,member,2
1328,casual,9
1329,casual,6
1330,member,3
1330,casual,3
1331,member,4
1331,casual,6
1332,member,1
1332,casual,7
1333,member,3
1333,casual,3
1334,casual,4
1334,member,2
1335,casual,3
1336,member,2
1336,casual,6
1337,member,2
1337,casual,8
1338,member,1
1338,casual,5
1339,casual,4
1339,member,2
1340,member,4
1340,casual,7
1341,casual,4
1342,casual,8
1343,member,2
1343,casual,12
1344,casual,8
1345,member,1
1345,casual,7
1346,member,5
1346,casual,6
1347,member,2
1347,casual,7
1348,casual,7
1349,casual,8
1350,member,2
1350,casual,4
1351,casual,3
1351,member,2
1352,member,1
1352,casual,6
1353,member,2
1353,casual,7
1354,casual,8
1354,member,3
1355,casual,6
1355,member,2
1356,casual,2
1357,casual,6
1357,member,2
1358,casual,4
1358,member,1
1359,casual,7
1359,member,1
1360,casual,9
1361,member,1
1361,casual,9
1362,member,2
1362,casual,5
1363,member,2
1363,casual,6
1364,casual,6
1364,member,2
1365,member,2
1365,casual,8
1366,member,1
1366,casual,6
1367,member,5
1367,casual,7
1368,casual,4
1369,casual,4
1369,member,4
1370,member,1
1370,casual,2
1371,casual,11
1372,casual,5
1372,member,1
1373,casual,6
1374,casual,16
1374,member,3
1375,casual,9
1375,member,2
1376,casual,4
1376,member,1
1377,casual,5
1378,casual,6
1379,member,2
1379,casual,8
1380,casual,5
1380,member,2
1381,casual,12
1381,member,3
1382,member,2
1382,casual,6
1383,member,1
1383,casual,7
1384,casual,8
1385,casual,2
1385,member,3
1386,member,2
1386,casual,7
1387,member,1
1387,casual,3
1388,casual,6
1388,member,2
1389,casual,8
1390,casual,3
1390,member,3
1391,member,1
1391,casual,9
1392,member,2
1392,casual,5
1393,member,1
1393,casual,7
1394,casual,5
1394,member,2
1395,member,1
1395,casual,8
1396,casual,7
1397,member,1
1397,casual,5
1398,casual,3
1398,member,3
1399,casual,11
1399,member,2
1400,member,1
1400,casual,15
1401,member,2
1401,casual,4
1402,member,1
1402,casual,2
1403,casual,4
1403,member,1
1404,casual,5
1404,member,2
1405,casual,6
1405,member,1
1406,casual,9
1406,member,4
1407,casual,8
1408,casual,6
1409,casual,6
1409,member,3
1410,member,1
1410,casual,8
1411,casual,4
1411,member,1
1412,casual,4
1412,member,2
1413,casual,5
1413,member,1
1414,casual,8
1414,member,1
1415,casual,7
1415,member,1
1416,member,2
1416,casual,9
1417,casual,7
1417,member,2
1418,casual,6
1418,member,1
1419,casual,1
1419,member,3
1420,member,2
1420,casual,9
1421,casual,17
1421,member,4
1422,member,3
1422,casual,7
1423,member,1
1423,casual,15
1424,casual,14
1424,member,2
1425,casual,7
1425,member,1
1426,casual,5
1426,member,3
1427,casual,7
1428,casual,7
1429,casual,7
1429,member,3
1430,casual,6
1431,casual,11
1431,member,2
1432,member,2
1432,casual,3
1433,member,2
1433,casual,3
1434,casual,9
1434,member,1
1435,member,2
1435,casual,6
1436,member,1
1436,casual,7
1437,member,3
1437,casual,7
1438,casual,11
1439,casual,4
1440,casual,3
1457,casual,1
